[     106ms] [WARNING] WebSocket connection to 'ws://localhost:5173/ws/progress' failed: WebSocket is closed before the connection is established. @ http://localhost:5173/src/hooks/useWebSocket.ts:18
[   10332ms] [ERROR] Cannot update a component (`%s`) while rendering a different component (`%s`). To locate the bad setState() call inside `%s`, follow the stack trace as described in https://react.dev/link/setstate-in-render ToastContainer App App @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=29037919:11683
[   10336ms] [ERROR] Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version. 1772719041120 @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=29037919:4922
[   10399ms] [ERROR] Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version. 1772719041120 @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=29037919:4922
[   10419ms] [ERROR] Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version. 1772719041120 @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=29037919:4922
[   10423ms] [ERROR] Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version. 1772719041120 @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=29037919:4922
[   10425ms] [ERROR] Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version. 1772719041120 @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=29037919:4922
[   10429ms] [ERROR] Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version. 1772719041120 @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=29037919:4922
[   10435ms] [ERROR] Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version. 1772719041120 @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=29037919:4922
[   10437ms] [ERROR] Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version. 1772719041120 @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=29037919:4922
[   10442ms] [ERROR] Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version. 1772719041120 @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=29037919:4922
[   10450ms] [ERROR] Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version. 1772719041120 @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=29037919:4922
[   10486ms] [ERROR] Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version. 1772719041120 @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=29037919:4922
[   10509ms] [ERROR] Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version. 1772719041120 @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=29037919:4922
[   10586ms] [ERROR] Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version. 1772719041120 @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=29037919:4922
[   10611ms] [ERROR] Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version. 1772719041120 @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=29037919:4922
[   10633ms] [ERROR] Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version. 1772719041120 @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=29037919:4922
[   10636ms] [ERROR] Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version. 1772719041120 @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=29037919:4922
[   10643ms] [ERROR] Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version. 1772719041120 @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=29037919:4922
[   10645ms] [ERROR] Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version. 1772719041120 @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=29037919:4922
[   10649ms] [ERROR] Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version. 1772719041120 @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=29037919:4922
[   10652ms] [ERROR] Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version. 1772719041120 @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=29037919:4922
[   10659ms] [ERROR] Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version. 1772719041120 @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=29037919:4922
[   10677ms] [ERROR] Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version. 1772719041120 @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=29037919:4922
[   10772ms] [ERROR] Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version. 1772719041120 @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=29037919:4922
[   11100ms] [ERROR] Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version. 1772719041120 @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=29037919:4922
[   11275ms] [ERROR] Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version. 1772719041120 @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=29037919:4922
[   11308ms] [ERROR] Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version. 1772719041120 @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=29037919:4922
[   11328ms] [ERROR] Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version. 1772719041120 @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=29037919:4922
[   11331ms] [ERROR] Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version. 1772719041120 @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=29037919:4922
[   11337ms] [ERROR] Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version. 1772719041120 @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=29037919:4922
[   11340ms] [ERROR] Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version. 1772719041120 @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=29037919:4922
[   11343ms] [ERROR] Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version. 1772719041120 @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=29037919:4922
[   11346ms] [ERROR] Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version. 1772719041120 @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=29037919:4922
[   11352ms] [ERROR] Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version. 1772719041120 @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=29037919:4922
[   11366ms] [ERROR] Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version. 1772719041120 @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=29037919:4922
[   11385ms] [ERROR] Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version. 1772719041120 @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=29037919:4922
[   11433ms] [ERROR] Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version. 1772719041120 @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=29037919:4922
[   11927ms] [ERROR] Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version. 1772719041120 @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=29037919:4922
[   11960ms] [ERROR] Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version. 1772719041120 @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=29037919:4922
[   11992ms] [ERROR] Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version. 1772719041120 @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=29037919:4922
[   11995ms] [ERROR] Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version. 1772719041120 @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=29037919:4922
